Group_id,Group_title,Chapter_id,Chapter_title,Level_id,Level_qualifier
1,Continuous Delivery Capabilities,1,Version Control,1,"None / Manual code backups."
1,Continuous Delivery Capabilities,1,Version Control,2,"System to Track Changes (SCCS, SVN, Git etc.)"
1,Continuous Delivery Capabilities,1,Version Control,3,"Version control system does not lock files but provides tools for merging overlapping changes. May also include configuration and or tests (unit test code)."
1,Continuous Delivery Capabilities,1,Version Control,4,"Code includes configuration, tests and deployment automation. Changes are checked in at least daily. Use of feature flags is beginning."
1,Continuous Delivery Capabilities,1,Version Control,5,"Pair Approval of application code, tests, configuration, feature flags and code for infrastructure (compute, storage, network). Feature flags are common. Code is checked in multiple times per hour."
1,Continuous Delivery Capabilities,2,Deployment Automation,1,"None / Manual Deployments."
1,Continuous Delivery Capabilities,2,Deployment Automation,2,"Use of ad-hoc scripts or use of manual checklists."
1,Continuous Delivery Capabilities,2,Deployment Automation,3,"Comprehensive, 70 to 95%, automation (may or may no include config). Either development team or operations team driven."
1,Continuous Delivery Capabilities,2,Deployment Automation,4,"95% or better automation. Includes test checks and configuration. Automation is driven by the team."
1,Continuous Delivery Capabilities,2,Deployment Automation,5,"Fully automatic with check, configuration and monitoring. May include creation removal of test environments."
1,Continuous Delivery Capabilities,3,Continuous Integration,1,"None / manual."
1,Continuous Delivery Capabilities,3,Continuous Integration,2,"Scheduled or triggered builds from common code repository."
1,Continuous Delivery Capabilities,3,Continuous Integration,3,"Builds include significant basic unit testing."
1,Continuous Delivery Capabilities,3,Continuous Integration,4,"Builds have quality gates for at least code test coverage and security analysis."
1,Continuous Delivery Capabilities,3,Continuous Integration,5,"Test gates are comprehensive including integration and regression testing."
1,Continuous Delivery Capabilities,4,Trunk-Based Development,1,"Unorganized branches (missing documentation). Or, no branches and branch process (rules or guidelines)."
1,Continuous Delivery Capabilities,4,Trunk-Based Development,2,"Pet-based branches. Branches created as backups or checkpoints"
1,Continuous Delivery Capabilities,4,Trunk-Based Development,3,"Project-based branches. Or environment-based branches (dev, test, stage, prod)."
1,Continuous Delivery Capabilities,4,Trunk-Based Development,4,"Long lived feature / story branches (with a product focus). May or may not include process."
1,Continuous Delivery Capabilities,4,Trunk-Based Development,5,"Short lived story branches that are merged to trunk master."
1,Continuous Delivery Capabilities,5,Test Automation,1,"None / Manual Testing."
1,Continuous Delivery Capabilities,5,Test Automation,2,"Checklists ; Written scripts for manual testing."
1,Continuous Delivery Capabilities,5,Test Automation,3,"Unit Testing ; Feature Testing ; Developers primarily create and maintain acceptance tests."
1,Continuous Delivery Capabilities,5,Test Automation,4,"Coverage analysis drives test plans ; Security testing ; Service virtualization used for integration ; Tests are stable and accurate."
1,Continuous Delivery Capabilities,5,Test Automation,5,"Full end-to-end regression testing continuous on dynamically created environments."
1,Continuous Delivery Capabilities,6,Test Data Management,1,"None ; Manual."
1,Continuous Delivery Capabilities,6,Test Data Management,2,"Test data can be copied."
1,Continuous Delivery Capabilities,6,Test Data Management,3,"Have adequate test data available ; Test data is checked in as code."
1,Continuous Delivery Capabilities,6,Test Data Management,4,"Test data does limit the range of tests that can be run ; Test data is minimized to reduce test run times ; Test data mimics real world scenarios."
1,Continuous Delivery Capabilities,6,Test Data Management,5,"Test Data generated by automation on demand ; Ability to condition data in the pipeline."
1,Continuous Delivery Capabilities,7,Shift Left on Security,1,"No planning or testing for security Manual."
1,Continuous Delivery Capabilities,7,Shift Left on Security,2,"Security assessments manual and are post development and/or late in testing."
1,Continuous Delivery Capabilities,7,Shift Left on Security,3,"Irregular scanning with tools for security vulnerabilities. Product design include security requirements and collaboration with security experts."
1,Continuous Delivery Capabilities,7,Shift Left on Security,4,"Recurring scanning with tools for security vulnerabilities. Team understands security requirements and take ownership."
1,Continuous Delivery Capabilities,7,Shift Left on Security,5,"Automated scanning included in build pipeline; both static and dynamic. Team monitors product for real-time security impacts."
1,Continuous Delivery Capabilities,8,Continuous Delivery,1,"None / manual / waterfall big releases / big design up front."
1,Continuous Delivery Capabilities,8,Continuous Delivery,2,"Working in small batches (or smaller batches). Time boxing work."
1,Continuous Delivery Capabilities,8,Continuous Delivery,3,"Uses a pull-based system. Use of Kanban to allow development to flow."
1,Continuous Delivery Capabilities,8,Continuous Delivery,4,"Fully empowered teams. Teams building/leveraging automation. Last column in Kanban means item is fully in production."
1,Continuous Delivery Capabilities,8,Continuous Delivery,5,"Automation of all processes not related to coding and code reviews. (Build, Testing, Test Data, Configuration, Deployment, Monitoring)"
2,Loosely Coupled Architecture,9,Loosely Coupled Architecture,1,"Monoliths and systems tightly coupled via point to point data transfers. Downstream systems must change when upstream systems modify data structures."
2,Loosely Coupled Architecture,9,Loosely Coupled Architecture,2,"Service Orientation for systems and encapsulation of systems. Abstraction of data sources are emergent."
2,Loosely Coupled Architecture,9,Loosely Coupled Architecture,3,"Use of APIs for communication between systems. Messages for independent events."
2,Loosely Coupled Architecture,9,Loosely Coupled Architecture,4,"Abstractions of data vs business rules vs presentation layers."
2,Loosely Coupled Architecture,9,Loosely Coupled Architecture,5,"Use of patterns for design of distribute systems, .e.g. sagas for long running transactions."
2,Loosely Coupled Architecture,10,Empowered Teams,1,"Teams are told what to work on and have their schedules set by outside authorities."
2,Loosely Coupled Architecture,10,Empowered Teams,2,"Participate in decisions related to schedule and tooling. Write user stories and define requirements."
2,Loosely Coupled Architecture,10,Empowered Teams,3,"Flexibility to choose tools that fit the desired ecosystem. Have reasonable slack time to deal with unplanned work."
2,Loosely Coupled Architecture,10,Empowered Teams,4,"Chooses when to release software. Interact with stakeholders and sponsors."
2,Loosely Coupled Architecture,10,Empowered Teams,5,"Can raise issues and experiment with new features."
3,Product And Process Capabilities,11,Customer Feedback,1,"None."
3,Product And Process Capabilities,11,Customer Feedback,2,"Ad-hoc gathering of customer feedback , late feedback, as from a UAT phase."
3,Product And Process Capabilities,11,Customer Feedback,3,"Regularly gathering customer metrics."
3,Product And Process Capabilities,11,Customer Feedback,4,"Actively seeking customer insights on quality and features , Feedback sought early in the development process."
3,Product And Process Capabilities,11,Customer Feedback,5,"Using feedback to inform the design of products and features , Empowering teams to respond to customer feedback , Use of minimum viable products."
3,Product And Process Capabilities,12,Value Stream,1,"No ties, or undocumented ties, to underlying business value."
3,Product And Process Capabilities,12,Value Stream,2,"Organization structure loosely determines product business value."
3,Product And Process Capabilities,12,Value Stream,3,"Developers understand impact of changes for the larger organization."
3,Product And Process Capabilities,12,Value Stream,4,"Regular consultation with business owners with insight into organizational goals."
3,Product And Process Capabilities,12,Value Stream,5,"Full synergy between business owners and developers via integrated product management teams."
3,Product And Process Capabilities,13,Working in Small Batches,1,"Work planned for weeks or months at a time in a project oriented approach."
3,Product And Process Capabilities,13,Working in Small Batches,2,"Use of Scrum to break large projects and features into sprint sized increments."
3,Product And Process Capabilities,13,Working in Small Batches,3,"Decompose work in to small features using a product orientation , Use of Kanban to manage shorter lead times and faster feedback loops."
3,Product And Process Capabilities,13,Working in Small Batches,4,"Use of feature flags to allow combining small increments of work into larger gated features."
